,run,epoch,train loss,train acc,valid loss,valid acc,hidden_units,dropout,num_classes,lr,batch_size,n_epochs
0,1,1,0.8853485135154592,0.7444444444444445,0.4548930674791336,0.865,256,0.4,4,0.001,25,40
1,1,2,0.34334387278391254,0.8811111111111111,0.4301460199058056,0.885,256,0.4,4,0.001,25,40
2,1,3,0.2232387869929274,0.9216666666666666,0.6484306436032057,0.9,256,0.4,4,0.001,25,40
3,1,4,0.2313971681546213,0.9233333333333333,0.6670604180544615,0.89,256,0.4,4,0.001,25,40
4,1,5,0.19348572667998573,0.9394444444444444,0.6199246719479561,0.865,256,0.4,4,0.001,25,40
5,1,6,0.16449238970461819,0.9438888888888889,0.40943564038025215,0.92,256,0.4,4,0.001,25,40
6,1,7,0.12150384809097482,0.9594444444444444,0.7886160857160576,0.91,256,0.4,4,0.001,25,40
7,1,8,0.15412174733743692,0.95,0.5828860606998205,0.875,256,0.4,4,0.001,25,40
8,1,9,0.1271455377282109,0.9577777777777777,0.5939525202848017,0.93,256,0.4,4,0.001,25,40
9,1,10,0.08464841843265782,0.9733333333333334,1.1498600405466277,0.885,256,0.4,4,0.001,25,40
10,1,11,0.08323275266229757,0.975,0.6954500050633214,0.91,256,0.4,4,0.001,25,40
11,1,12,0.1070379259742064,0.9688888888888889,0.8577836924232543,0.88,256,0.4,4,0.001,25,40
12,1,13,0.09649657317034628,0.9733333333333334,0.8416271307505667,0.91,256,0.4,4,0.001,25,40
13,1,14,0.0835041455086159,0.9738888888888889,1.1474120291532017,0.875,256,0.4,4,0.001,25,40
14,1,15,0.060368386310983624,0.9833333333333333,0.6952434349805117,0.9,256,0.4,4,0.001,25,40
15,1,16,0.16204973519193622,0.965,1.6274899971272134,0.87,256,0.4,4,0.001,25,40
16,1,17,0.11892533366143551,0.9705555555555555,1.0691189276985824,0.86,256,0.4,4,0.001,25,40
17,1,18,0.09927915681593744,0.98,0.8755209464579821,0.9,256,0.4,4,0.001,25,40
18,1,19,0.05401048786758464,0.9805555555555555,0.7006893872458022,0.92,256,0.4,4,0.001,25,40
19,1,20,0.0943891417781136,0.9722222222222222,0.813162018195726,0.89,256,0.4,4,0.001,25,40
20,1,21,0.08203727232022276,0.9827777777777778,0.7151512212585658,0.88,256,0.4,4,0.001,25,40
21,1,22,0.06003825170211741,0.9888888888888889,0.9903377844020724,0.94,256,0.4,4,0.001,25,40
22,1,23,0.062448618418481296,0.9816666666666667,1.071866956888698,0.895,256,0.4,4,0.001,25,40
23,1,24,0.07450689303318035,0.9838888888888889,1.3124481642153114,0.9,256,0.4,4,0.001,25,40
24,1,25,0.037219806702335094,0.9883333333333333,1.563268342986703,0.9,256,0.4,4,0.001,25,40
25,1,26,0.13414136394084786,0.98,1.8711421333928229,0.86,256,0.4,4,0.001,25,40
26,1,27,0.03285353910679313,0.9877777777777778,1.5244033399503678,0.875,256,0.4,4,0.001,25,40
